id,type,description,status
48196155,ping,Ping test from South Africa to 43.152.54.100,Stopped
48196156,ping,Ping test from Australia to 43.132.86.2,Stopped
48196157,ping,Ping test from Australia to 43.152.54.100,Stopped
48196158,ping,HK Ping measurement to 45.83.248.1,Stopped
48196159,ping,IR Ping measurement to 185.136.96.1,Stopped
48196160,ping,Ping test from Bangladesh to 43.132.86.2,Stopped
48196161,ping,Ping test from Bangladesh to 43.152.54.100,Stopped
48196162,ping,SG Ping measurement to 45.83.248.1,Stopped
48196163,ping,Ping test from India to 43.132.86.2,Stopped
48196164,ping,Ping test from India to 43.152.54.100,Stopped
48196165,ping,ZA Ping measurement to 185.136.96.1,Stopped
48196166,ping,Ping test from Sri Lanka to 43.132.86.2,Stopped
48196167,ping,Ping test from Sri Lanka to 43.152.54.100,Stopped
48196168,ping,Ping test from JP probes to 1.1.1.1,Stopped
48196169,ping,Ping test from JP probes to 8.8.8.8,Stopped
48196170,ping,AU Ping measurement to 45.83.248.1,Stopped
48196171,ping,Ping test from JP probes to ns-18.awsdns-02.com,Stopped
48196172,ping,Ping test from JP probes to a1-260.akam.net,Stopped
48196173,ping,IN Ping measurement to 185.136.96.1,Stopped
48196174,ping,Ping test from Nepal to 43.132.86.2,Stopped
48196175,ping,Ping test from Nepal to 43.152.54.100,Stopped
48196176,ping,RU Ping measurement to 45.83.248.1,Stopped
48196178,ping,NL Ping measurement to 185.136.96.1,Stopped
48196181,ping,GB Ping measurement to 45.83.248.1,Stopped
48196182,ping,Ping test from KR probes to 1.1.1.1,Stopped
48196183,ping,Ping test from KR probes to 8.8.8.8,Stopped
48196184,ping,Ping test from KR probes to ns-18.awsdns-02.com,Stopped
48196185,ping,Ping test from KR probes to a1-260.akam.net,Stopped
48196186,ping,DE Ping measurement to 185.136.96.1,Stopped
48196187,ping,IT Ping measurement to 45.83.248.1,Stopped
48196188,ping,FI Ping measurement to 185.136.96.1,Stopped
48196190,ping,CH Ping measurement to 45.83.248.1,Stopped
48196191,ping,IP Geolocation - 109.234.161.39,Stopped
48196192,ping,Ping test from TW probes to 1.1.1.1,Stopped
48196193,ping,Ping test from TW probes to 8.8.8.8,Stopped
48196194,ping,TR Ping measurement to 185.136.96.1,Stopped
48196195,ping,Ping test from TW probes to ns-18.awsdns-02.com,Stopped
48196196,ping,Ping test from TW probes to a1-260.akam.net,Stopped
48196197,ping,SE Ping measurement to 45.83.248.1,Stopped
48196198,ping,ES Ping measurement to 185.136.96.1,Stopped
48196199,ping,IP Geolocation - 101.51.36.32,Stopped
48196208,ping,Ping test from Colombia to 43.132.86.2,Stopped
48196210,ping,Ping test from Colombia to 43.152.54.100,Stopped
48196216,ping,UA Ping measurement to 45.83.248.1,Stopped
48196218,ping,Ping test from Pakistan to 43.132.86.2,No suitable probes
48196219,ping,RO Ping measurement to 185.136.96.1,Stopped
48196220,ping,Ping test from HK probes to 1.1.1.1,Stopped
48196223,ping,Ping test from HK probes to 8.8.8.8,Stopped
48196224,ping,IP Geolocation - 101.51.36.32,Stopped
48196225,ping,Ping test from Pakistan to 43.152.54.100,No suitable probes
48196228,ping,Ping test from HK probes to ns-18.awsdns-02.com,Stopped
48196232,ping,Ping test from HK probes to a1-260.akam.net,Stopped
48196235,ping,FR Ping measurement to 45.83.248.1,Stopped
48196238,ping,Ping test from Saudi Arabia to 43.132.86.2,Stopped
48196241,ping,Ping test from Saudi Arabia to 43.152.54.100,Stopped
48196246,ping,TW Ping measurement to 185.136.96.1,Stopped
48196252,ping,IP Geolocation - 101.51.36.32,Stopped
48196258,ping,Ping test from Turkey to 43.132.86.2,Stopped
48196261,ping,Ping test from Turkey to 43.152.54.100,Stopped
48196267,ping,IR Ping measurement to 45.83.248.1,Stopped
48196268,ping,Ping test from Argentina to 43.132.86.2,Stopped
48196269,ping,JP Ping measurement to 185.136.96.1,Stopped
48196270,ping,Ping test from Argentina to 43.152.54.100,Stopped
48196274,ping,Ping test from Brazil to 43.132.86.2,Stopped
48196275,ping,Ping test from Brazil to 43.152.54.100,Stopped
48196276,ping,ZA Ping measurement to 45.83.248.1,Stopped
48196277,ping,PL Ping measurement to 185.136.96.1,Stopped
48196278,ping,Ping test from Chile to 43.132.86.2,Stopped
48196279,ping,Ping test from Chile to 43.152.54.100,Stopped
48196282,ping,IN Ping measurement to 45.83.248.1,Stopped
48196283,ping,NO Ping measurement to 185.136.96.1,Stopped
48196285,ping,NL Ping measurement to 45.83.248.1,Stopped
48196287,ping,DE Ping measurement to 45.83.248.1,Stopped
48196289,ping,FI Ping measurement to 45.83.248.1,Stopped
48196291,ping,TR Ping measurement to 45.83.248.1,Stopped
48196293,ping,ES Ping measurement to 45.83.248.1,Stopped
48196295,ping,RO Ping measurement to 45.83.248.1,Stopped
48196297,ping,Ping test from KE probes to 1.1.1.1,Stopped
48196298,ping,Ping test from KE probes to 8.8.8.8,Stopped
48196299,ping,Ping test from KE probes to ns-18.awsdns-02.com,Stopped
48196300,ping,Ping test from KE probes to a1-260.akam.net,Stopped
48196301,ping,TW Ping measurement to 45.83.248.1,Stopped
48196303,ping,JP Ping measurement to 45.83.248.1,Stopped
48196305,ping,Ping test from NG probes to 1.1.1.1,Stopped
48196306,ping,Ping test from NG probes to 8.8.8.8,Stopped
48196307,ping,PL Ping measurement to 45.83.248.1,Stopped
48196308,ping,Ping test from NG probes to ns-18.awsdns-02.com,Stopped
48196309,ping,Ping test from NG probes to a1-260.akam.net,Stopped
48196311,ping,NO Ping measurement to 45.83.248.1,Stopped
48196313,ping,Ping test from ZA probes to 1.1.1.1,Stopped
48196314,ping,Ping test from ZA probes to 8.8.8.8,Stopped
48196315,ping,Ping test from ZA probes to ns-18.awsdns-02.com,Stopped
48196316,ping,Ping test from ZA probes to a1-260.akam.net,Stopped
48196319,ping,From script for latency checks for Monitoring,Stopped
48196321,ping,IP Geolocation - 45.147.195.6,Stopped
48196342,ping,Ping test from Germany to 43.132.86.2,Stopped
48196344,ping,Ping test from Germany to 43.152.54.100,Stopped
48196350,ping,Ping test from AU probes to 1.1.1.1,Stopped
48196354,ping,Ping test from AU probes to 8.8.8.8,Stopped
48196357,ping,Ping test from AU probes to ns-18.awsdns-02.com,Stopped
48196359,ping,Ping test from AU probes to a1-260.akam.net,Stopped
48196365,ping,Ping test from Spain to 43.132.86.2,Stopped
48196368,ping,Ping test from Spain to 43.152.54.100,Stopped
48196384,ping,Ping test from France to 43.132.86.2,Stopped
48196385,ping,Ping test from France to 43.152.54.100,Stopped
48196387,ping,Ping test from United Kingdom to 43.132.86.2,Stopped
48196388,ping,Ping test from United Kingdom to 43.152.54.100,Stopped
48196390,ping,Ping test from Greece to 43.132.86.2,Stopped
48196391,ping,Ping test from NZ probes to 1.1.1.1,Stopped
48196392,ping,Ping test from Greece to 43.152.54.100,Stopped
48196393,ping,Ping test from NZ probes to 8.8.8.8,Stopped
48196394,ping,Ping test from NZ probes to ns-18.awsdns-02.com,Stopped
48196395,ping,Ping test from NZ probes to a1-260.akam.net,Stopped
48196396,ping,Ping test from Ireland to 43.132.86.2,Stopped
48196397,ping,Ping test from Ireland to 43.152.54.100,Stopped
48196399,ping,Ping test from Italy to 43.132.86.2,Stopped
48196400,ping,Ping test from Italy to 43.152.54.100,Stopped
48196401,ping,Ping test from Netherlands to 43.132.86.2,Stopped
48196403,ping,Ping test from Netherlands to 43.152.54.100,Stopped
48196404,ping,Ping test from Poland to 43.132.86.2,Stopped
48196405,ping,Ping test from Poland to 43.152.54.100,Stopped
48196406,ping,Ping test from Russian Federation to 43.132.86.2,Stopped
48196407,ping,Ping test from Russian Federation to 43.152.54.100,Stopped
48196408,ping,Ping test from Sweden to 43.132.86.2,Stopped
48196409,ping,Ping test from Sweden to 43.152.54.100,Stopped
48196410,ping,Ping test from Ukraine to 43.132.86.2,Stopped
48196411,ping,Ping test from Ukraine to 43.152.54.100,Stopped
48196412,ping,Ping test from BD probes to 1.1.1.1,Stopped
48196413,ping,Ping test from BD probes to 8.8.8.8,Stopped
48196414,ping,Ping test from BD probes to ns-18.awsdns-02.com,Stopped
48196415,ping,Ping test from BD probes to a1-260.akam.net,Stopped
48196416,ping,IP Geolocation - 199.101.192.75,Stopped
48196417,ping,Ping test from United Arab Emirates to 43.132.86.2,Stopped
48196418,ping,Ping test from United Arab Emirates to 43.152.54.100,Stopped
48196419,ping,Ping test from Azerbaijan to 43.132.86.2,Stopped
48196420,ping,Ping test from Azerbaijan to 43.152.54.100,Stopped
48196421,ping,Ping test from Egypt to 43.132.86.2,No suitable probes
48196422,ping,Ping test from Egypt to 43.152.54.100,No suitable probes
48196424,ping,Ping test from IN probes to 1.1.1.1,Stopped
48196427,ping,Ping test from IN probes to 8.8.8.8,Stopped
48196428,ping,Ping test from IN probes to ns-18.awsdns-02.com,Stopped
48196429,ping,Ping test from Iraq to 43.132.86.2,Stopped
48196430,ping,Ping test from IN probes to a1-260.akam.net,Stopped
48196431,ping,Ping test from Iraq to 43.152.54.100,Stopped
48196432,ping,Ping test from Iran to 43.132.86.2,Stopped
48196433,ping,Ping test from Iran to 43.152.54.100,Stopped
48196436,ping,Ping test from Jordan to 43.132.86.2,Stopped
48196437,ping,Ping test from Jordan to 43.152.54.100,Stopped
48196438,ping,Ping test from Kyrgyzstan to 43.132.86.2,Stopped
48196439,ping,Ping test from Kyrgyzstan to 43.152.54.100,Stopped
