
   id asn_v4 asn_v6 country     status     
  193   5387      -   ru       Abandoned   
  194 206238 206238   nl       Connected   
  195   1213   1213   ie       Abandoned   
  196      -      -   de       Abandoned   
  197   3215   3215   fr       Connected   
  198   3209      -   de       Connected   
  199    766      -   es       Abandoned   
  200 201333 201333   it       Connected   
  201      -      -   gb       Abandoned   
  202   7922      -   us       Connected   
  203  38195  38195   au       Abandoned   
  204   3209      -   de       Abandoned   
  205  39839  39839   dk       Abandoned   
  206   8881      -   de       Connected   
  207      -      -   hk       Abandoned   
  208      -      -   de       Abandoned   
  209   6871      -   gb       Connected   
  210      -      -   us       Abandoned   
  211   3209  25560   de       Connected   
  212   4739   4739   au       Connected   
  213  12731  12731   de       Abandoned   
  214  50304      -   no       Abandoned   
  215      -      -   us       Abandoned   
  216      -      -   us       Abandoned   
  217  15474  15474   is       Abandoned   
  218   2852   2852   cz       Connected   
  219  25467      -   rs       Abandoned   
  220   9340      -   id       Abandoned   
  221      -      -            Abandoned   
  222  26130      -   ne       Abandoned   
  223    577      -   ca       Abandoned   
  224   8331   8331   ru       Connected   
  225   5607      -   gb       Abandoned   
  226   4739   4739   au       Abandoned   
  227  37611   6083   za       Abandoned   
  228      -      -   tg       Abandoned   
  229   5432   5432   be       Abandoned   
  230      -      -            Abandoned   
  231  29670      -   de       Abandoned   
  232      -      -   gb       Abandoned   
  233  13045  13045   de       Connected   
  234      -  55391   jp       Connected   
  235      -      -   ru       Abandoned   
  236   9143   6939   nl       Abandoned   
  237   3333   3333   nl       Connected   
  238   2107   2107   si       Abandoned   
  239   8346   8346   sn       Abandoned   
  240      -      -            Abandoned   
  241   8359   8359   ru     Disconnected  
  242 328453      -   za       Connected   
  243   7303      -   ar       Connected   
  244  47595      -   ru       Abandoned   
  245  21294      -   ro       Abandoned   
  246   6830      -   nl       Abandoned   
  247      -      -            Abandoned   
  248   8412   8412   at       Connected   
  249    137    137   it       Connected   
  250  13030  13030   ch       Abandoned   
  251      -      -            Abandoned   
  252      -      -   zm       Abandoned   
  253  37228      -   rw       Abandoned   
  254  13105      -   ru       Abandoned   
  256      -      -   ke       Abandoned   
  257   3209      -   de     Disconnected  
  258  16086  16086   fi       Connected   
  259  15598  15598   de       Abandoned   
  260   8708      -   ro       Abandoned   
  261      -      -            Abandoned   
  262      -      -   pa       Abandoned   
  263  34288      -   ch       Abandoned   
  264      -      -   mx       Abandoned   
  265  25255      -   at       Abandoned   
  266  12931  12931   de       Abandoned   
  267  12337  12337   de       Abandoned   
  268   6799   6799   gr       Connected   
  269   2602   2602   lu       Abandoned   
  270  31334      -   de       Abandoned   
  271      -      -            Abandoned   
  272      -      -   as    Never Connected
  273  34555      -   gb       Connected   
  274  15598      -   de       Connected   
  275      -      -   us       Abandoned   
  276      -      -   de    Never Connected
  277   3320   3320   de       Connected   
  278      -      -   nz       Abandoned   
  279  31641      -   gb       Abandoned   
  280  20955      -   gb       Abandoned   
  281   7922      -   us       Connected   
  282  20845  20845   hu       Abandoned   
  283   5089   6939   gb       Connected   
  284  39617  39617   gb       Abandoned   
  285   1257      -   se     Disconnected  
  286   5378      -   gb       Abandoned   
  287      -      -   de       Abandoned   
  288      -      -   us       Abandoned   
  289  56433      -   ua       Connected   
  290      -      -            Abandoned   
  291      -      -            Abandoned   
  292      -      -   tr       Abandoned   
  293 206238 206238   nl       Connected   
  294      -      -   cw       Abandoned   
  295      -  34145   ru       Abandoned   
  296      -      -   sa       Abandoned   
  297  13285      -   gb       Abandoned   
  298 203953      -   dk       Connected   
  299  39839  39839   dk       Abandoned   
  300   3352   3352   es       Abandoned   
  301 136402 136402   nc       Connected   
  302 203953 203953   dk       Abandoned   
  303   9541   9541   pk       Abandoned   
  304    209      -   us       Abandoned   
  305  24560      -   in       Abandoned   
  306  45131  45131   nz       Abandoned   
  307   7922   7922   us       Connected   
  308   3292      -   dk       Abandoned   
  309      -      -   nz       Abandoned   
  310  44678      -   ru       Abandoned   
  311      -      -   us       Abandoned   
  312      -      -   gb       Abandoned   
  313      -      -            Abandoned   
  314  20712  20712   gb       Abandoned   
  315    160      -   us       Abandoned   
  316  31334      -   de       Abandoned   
  317  49909  49909   ro       Abandoned   
  318   1136      -   nl       Abandoned   
  319   1909    195   us       Connected   
  320   8607      -   gb       Abandoned   
  321      -      -   hk       Abandoned   
  322   1136   1136   nl       Connected   
  323      -      -            Abandoned   
  324  44381  44381   no       Abandoned   
  325  60294      -   de       Connected   
  326   3320      -   de       Connected   
  327      -      -   gb       Abandoned   
  328   5089      -   gb       Abandoned   
  329   3605      -   gu       Connected   
  330  12414   8508   pl       Abandoned   
  331   7377   7377   us       Abandoned   
  332  12709  12709   mt       Abandoned   
  333      -  17676   jp       Abandoned   
  334   3352      -   es     Disconnected  
  335    513    513   fr       Abandoned   
  336      -      -            Abandoned   
  337      -      -            Abandoned   
  338      -      -   us       Abandoned   
  339  21060  21060   dk       Abandoned   
  340      -      -   nl       Abandoned   
  341   3352   6939   es       Connected   
  342  28000  28000   uy       Abandoned   
  343   8997   9031   ru       Abandoned   
  344  49909      -   ro       Abandoned   
  345   1734   1734   us     Disconnected  
  346      -      -   us       Abandoned   
  347      -      -   ro       Abandoned   
  348  39837  39837   at       Connected   
  349      -      -   es       Abandoned   
  350  12322  12322   fr       Abandoned   
  351      -      -   ru       Abandoned   
  352   2012      -   hu       Abandoned   
  353   8426   8426   gb       Connected   
  354      -      -   gb       Abandoned   
  355    137      -   it       Abandoned   
  356      -      -            Abandoned   
  357   1764   1764   at       Abandoned   
  358      -      -            Abandoned   
  359      -      -   ie       Abandoned   
  360      -      -            Abandoned   
  361   3301      -   se       Abandoned   
  362      -      -   no       Abandoned   
  363   6830      -   ie       Connected   
  364      -      -   ir       Abandoned   
  365  12496      -   gb       Connected   
  366  31638  31638   it       Abandoned   
  367      -      -   ca       Abandoned   
  368      -      -            Abandoned   
  369      -      -   cz       Abandoned   
  370   9031      -   be       Abandoned   
  371  20712  20712   gb       Connected   
  372      -      -   ir       Abandoned   
  373   1257      -   se       Connected   
  374   3220      -   se       Abandoned   
  375      -      -   cz       Abandoned   
  376  12874      -   it       Connected   
  377      -      -   us       Abandoned   
  378  57131      -   se       Connected   
  379   6724   6724   de       Abandoned   
  380      -  25192   cz       Abandoned   
  381    251      -   de       Abandoned   
  382   3320      -   de       Connected   
  383   2119   2119   no       Connected   
  384  41164      -   no       Connected   
  385   9498      -   in       Connected   
  386   2116   2116   no       Connected   
  387  15389  15389   fo       Abandoned   
  388      -      -            Abandoned   
  389  27699      -   br       Abandoned   
  390  27678  27678   cl       Abandoned   
  391      -      -   us       Abandoned   
  392   6799   6799   gr       Abandoned   
  393      -      -            Abandoned   
  394   7922   7922   us       Connected   
  395  34244  34244   se       Abandoned   
  396  30781  30781   fr       Connected   
  397   3333   3333   ch       Abandoned   
  398   3352      -   es       Abandoned   
  399  22047      -   cl       Abandoned   
  400   6939   6939   hk       Abandoned   
  401   8359   8359   ru     Disconnected  
  402   3320   3320   de       Abandoned   
  403      -      -            Abandoned   
  404  20676  20676   de       Abandoned   
  405    766    766   es       Abandoned   
  406    251    251   de       Abandoned   
  407   8763   8763   de     Disconnected  
  408   8674   8674   se       Abandoned   
  409      -      -   cz       Abandoned   
  410  29518      -   se       Connected   
  411  18403      -   vn       Abandoned   
  412   9121      -   tr       Abandoned   
  413      -      -            Abandoned   
  414   1853   1853   at       Abandoned   
  415      -      -   es       Abandoned   
  416  59617  59617   gb       Connected   
  417  15954  15954   es       Connected   
  418  44489      -   cz       Abandoned   
  419      -   5603   si       Abandoned   
  420   2850      -   ie       Abandoned   
  421  12731  12731   de       Abandoned   
  422   5603   5603   si       Connected   
  423      -  17501   np       Abandoned   
  424      -      -   ie       Abandoned   
  425   8190   8190   gb       Abandoned   
  426   6939   6939   us       Abandoned   
  427      -      -   ph       Abandoned   
  428  12381      -   se       Abandoned   
  429  50266      -   nl       Connected   
  430  16353  16353   gb       Connected   
  431    137      -   it       Connected   
  432      -      -   gb       Abandoned   
  433  39029  39029   no       Connected   
  434   5538      -   lv       Connected   
  435  15743  15743   de       Connected   
  436   3320   3320   de       Abandoned   
  437  29695  29695   no       Abandoned   
  438  33915      -   nl       Connected   
  439  12322  12322   fr       Connected   
  440      -      -   de       Abandoned   
  441      -      -            Abandoned   
  442    701      -   us       Abandoned   
  443   3265   3265   nl       Abandoned   
  444      -      -            Abandoned   
  445      -      -   pt       Abandoned   
  446  37708  37708   mu       Abandoned   
  447   3269 197835   it       Abandoned   
  448   3352      -   es       Abandoned   
  449  10474      -   za       Abandoned   
  450   1759      -   fi       Connected   
  451   5459      -   gb       Abandoned   
  452  13030  13030   ch       Connected   
  453   2485      -   fr       Connected   
  454      -      -   tw       Abandoned   
  455      -      -            Abandoned   
  456  34245  34245   ie       Abandoned   
  457      -      -            Abandoned   
  458      -      -            Abandoned   
  459  29449      -   it       Connected   
  460      -      -            Abandoned   
  461   5539   5539   de       Abandoned   
  462  49534      -   ru       Abandoned   
  463      -      -            Abandoned   
  464      -      -   ie       Abandoned   
  465   5089      -   gb       Connected   
  466   8447      -   at       Connected   
  467      -      -            Abandoned   
  468      -   7018   us       Abandoned   
  469      -      -   ke       Abandoned   
  470  36958  36958   sc       Abandoned   
  471  13030  13030   ch       Connected   
  472   8218      -   fr       Connected   
  473   3741   3741   za     Disconnected  
  474   1835   1835   dk       Abandoned   
  475 206238 206238   nl       Connected   
  476      -      -   ro       Abandoned   
  477      -      -            Abandoned   
  478      -      -   es       Abandoned   
  479  37045  37045   tz       Abandoned   
  480   3320   3320   de       Abandoned   
  481      -      -            Abandoned   
  482  42289      -   ru       Connected   
  483   4538  23910   cn       Abandoned   
  484      -      -   tz       Abandoned   
  485  15557      -   fr       Abandoned   
  501      -      -            Abandoned   
  502  25229      -   ua       Abandoned   
  503  17828      -   pg       Abandoned   
  504   2609   5438   tn       Abandoned   
